start_time,volume lane1,volume lane2,volume lane3,volume lane4,volume ramp1,volume ramp2,speed lane1,speed lane2,speed lane3,speed lane4
2022-06-04 00:00:00-07:00,326,391,398,176,286,149,57.58,61.6,66.02,74.74
2022-06-04 01:00:00-07:00,220,290,270,82,200,106,56.73,62.18,65.77,76.44
2022-06-04 02:00:00-07:00,99,213,204,72,52,90,58.27,61.83,66.91,77.62
2022-06-04 03:00:00-07:00,122,158,154,48,85,72,56.49,62.16,64.72,74.79
2022-06-04 04:00:00-07:00,181,172,164,50,152,104,57.04,61.88,66.43,75.2
2022-06-04 05:00:00-07:00,230,211,200,65,187,108,58.64,63.09,67.31,80.54
2022-06-04 06:00:00-07:00,267,289,387,179,151,151,58.89,63.54,67.97,77.27
2022-06-04 07:00:00-07:00,377,452,588,371,207,230,57.36,62.13,66.79,77.23
2022-06-04 08:00:00-07:00,478,565,805,552,244,261,57.28,61.82,65.97,76.54
2022-06-04 09:00:00-07:00,588,746,944,702,271,360,57.36,61.31,64.85,74.55
2022-06-04 10:00:00-07:00,773,872,1187,1006,438,482,56.81,60.94,64.45,73.99
2022-06-04 11:00:00-07:00,924,1050,1364,1387,536,535,54.53,58.86,62.03,70.85
2022-06-04 12:00:00-07:00,1144,1182,1334,1499,614,644,47.08,48.99,52.52,60.19
2022-06-04 13:00:00-07:00,1255,1238,1214,1176,674,1060,49.69,53.2,58.06,66.78
2022-06-04 14:00:00-07:00,1432,1466,1519,1712,661,1009,48.6,51.67,55.77,65.01
2022-06-04 15:00:00-07:00,1369,1421,1624,1735,723,868,52.85,56.42,60.93,69.2
2022-06-04 16:00:00-07:00,1188,1305,1442,1663,696,697,53.78,57.04,61.05,69
2022-06-04 17:00:00-07:00,1000,1187,1467,1405,510,522,52.01,55.42,59.23,69.58
2022-06-04 18:00:00-07:00,964,1127,1420,1280,388,466,51.77,54.4,58.12,68.11
2022-06-04 19:00:00-07:00,807,932,1125,978,516,443,55.21,58.36,62.56,72.93
2022-06-04 20:00:00-07:00,610,803,1045,826,421,285,54.56,57.95,61.76,72.7
2022-06-04 21:00:00-07:00,528,774,891,623,354,239,54.24,57.61,61.26,71.66
2022-06-04 22:00:00-07:00,416,672,831,530,306,187,54.64,57.69,60.81,71.13
2022-06-04 23:00:00-07:00,411,480,554,272,294,199,54.81,58.76,62.05,71.96
2022-06-05 00:00:00-07:00,281,399,434,179,277,117,55.75,59.57,62.96,72.16
2022-06-05 01:00:00-07:00,143,264,254,85,70,82,57,62.3,65.33,74.78
2022-06-05 02:00:00-07:00,69,209,216,72,30,37,58.49,61.84,66.07,74.85
2022-06-05 03:00:00-07:00,91,142,164,56,79,46,56.54,61.15,66.71,77.71
2022-06-05 04:00:00-07:00,130,167,124,34,143,55,58.29,62.48,66.02,74.09
2022-06-05 05:00:00-07:00,195,174,150,50,164,71,58.03,63.97,67.21,76.78
2022-06-05 06:00:00-07:00,225,241,247,126,190,88,60.02,64.76,69.35,79.79
2022-06-05 07:00:00-07:00,297,332,380,190,213,147,58.86,63.81,68.62,79.01
2022-06-05 08:00:00-07:00,298,429,497,242,187,154,58.54,63.49,68.3,78.17
2022-06-05 09:00:00-07:00,444,589,712,482,277,214,58.3,61.8,65.7,76.42
2022-06-05 10:00:00-07:00,659,697,959,728,380,370,58.15,62.96,66.83,77.35
2022-06-05 11:00:00-07:00,748,858,1100,901,474,429,58.45,62.19,65.59,75.44
2022-06-05 12:00:00-07:00,1139,1199,1435,1478,619,667,56.29,60.69,64.53,74.01
2022-06-05 13:00:00-07:00,1165,1195,1474,1429,649,632,54.95,59.48,63.65,73.34
2022-06-05 14:00:00-07:00,1071,1165,1359,1388,683,644,54.78,59.41,63.42,72.72
2022-06-05 15:00:00-07:00,1143,1234,1402,1412,708,676,55.46,59.98,63.77,73.38
2022-06-05 16:00:00-07:00,1141,1122,1362,1330,654,667,55.92,60.52,65,73.53
2022-06-05 17:00:00-07:00,1001,1046,1307,1291,530,551,55.43,59.48,63.04,72.84
2022-06-05 18:00:00-07:00,861,989,1219,1117,495,481,58.07,62.43,66.55,76.37
2022-06-05 19:00:00-07:00,812,885,1115,1020,570,348,56.51,60.46,64.76,75.06
2022-06-05 20:00:00-07:00,515,528,599,641,441,370,22.13,21.93,22.29,22.7
2022-06-05 21:00:00-07:00,617,683,734,567,430,275,26.92,28.61,32.84,30.45
2022-06-05 22:00:00-07:00,436,579,630,365,410,161,54.08,58.05,61.33,70.99
2022-06-05 23:00:00-07:00,363,418,454,194,314,165,55.44,59.85,63.19,73.27
2022-06-06 00:00:00-07:00,258,252,279,78,264,96,55.83,60.01,63.75,72.59
2022-06-06 01:00:00-07:00,171,202,168,34,174,85,56.32,62.12,64.87,76.5
2022-06-06 02:00:00-07:00,88,149,146,24,74,53,56.58,60.68,65.89,74.71
2022-06-06 03:00:00-07:00,117,164,140,38,102,78,55.96,61.91,66.82,76.18
2022-06-06 04:00:00-07:00,214,211,198,68,178,102,56.88,61.29,65.8,75.97
2022-06-06 05:00:00-07:00,339,327,458,265,183,195,58.76,63.31,67.36,77.59
2022-06-06 06:00:00-07:00,489,697,859,804,209,299,57.51,62.79,66.64,76.31
2022-06-06 07:00:00-07:00,665,905,1072,1038,268,446,56.15,61.43,65.05,74.74
2022-06-06 08:00:00-07:00,717,855,1040,1031,258,496,56.22,60.58,64.01,74.37
2022-06-06 09:00:00-07:00,679,778,1031,764,317,415,55.9,59.77,61.69,66.22
2022-06-06 10:00:00-07:00,768,861,1029,849,446,531,55.03,59.65,63.46,72.18
2022-06-06 11:00:00-07:00,891,982,1091,901,504,586,55.09,59.71,63.51,73.18
2022-06-06 12:00:00-07:00,1058,1020,1196,1023,640,668,54.5,58.84,63.2,72.24
2022-06-06 13:00:00-07:00,1159,1126,1243,1141,610,697,54.03,58.29,62.82,71.44
2022-06-06 14:00:00-07:00,1457,1420,1516,1609,718,885,51.72,56.97,61.08,69.82
2022-06-06 15:00:00-07:00,1711,1705,1699,1927,864,953,49.67,53.95,59.23,66.78
2022-06-06 16:00:00-07:00,1586,1620,1607,1864,741,1061,50.51,53.61,58.31,66.08
2022-06-06 17:00:00-07:00,1385,1425,1486,1659,712,900,54.06,57.95,62.46,70.67
2022-06-06 18:00:00-07:00,1144,1093,1198,1177,626,726,55.74,60.52,64.88,73.88
2022-06-06 19:00:00-07:00,897,894,993,798,494,528,56.91,62.06,65.97,75.17
2022-06-06 20:00:00-07:00,758,713,856,665,457,408,56.27,61.79,66.14,75.54
2022-06-06 21:00:00-07:00,560,632,759,549,407,316,55.43,60.3,63.96,73.86
2022-06-06 22:00:00-07:00,491,482,561,320,397,255,56.2,61.2,66.13,76.45
2022-06-06 23:00:00-07:00,501,426,452,207,406,273,57.15,62.1,66.11,76.74
